4,0.0
8,2.60542955316e-32
10,-0.0758453869761
20,-0.146968408532
30,-0.192736356956
40,-0.192515216773
50,-0.179406666993
60,-0.18338665368
70,-0.198386518065
80,-0.199093625944
90,-0.205904929003
100,-0.221427610603
110,-0.211590955911
120,-0.210567295287
4,0.0
8,2.60542955316e-32
10,-0.0758453869761
20,-0.146968408532
30,-0.192736356956
40,-0.192515216773
50,-0.179406666993
60,-0.18338665368
70,-0.198386518065
80,-0.199093625944
90,-0.205904929003
100,-0.221427610603
110,-0.211590955911
120,-0.210567295287
